description,category
Ajio ₹298,shopping
Starbucks ₹1452,food
Myntra ₹125,shopping
Redbus ₹1560,transport
YouTube Premium ₹1932,entertainment
Uber ₹1657,transport
Microsoft ₹464,technology
Zomato ₹1709,food
Snapdeal ₹1092,shopping
Flipkart ₹284,shopping
YouTube Premium ₹664,entertainment
GitHub ₹543,technology
DigitalOcean ₹1038,technology
DigitalOcean ₹897,technology
Snapdeal ₹1601,shopping
Myntra ₹259,shopping
Hotstar ₹435,entertainment
Cab ₹1851,transport
Cafe Coffee Day ₹1730,food
Microsoft ₹74,technology
Swiggy ₹1987,food
Uber ₹590,transport
Apple ₹1073,technology
Apple ₹779,technology
Rapido ₹942,transport
Redbus ₹625,transport
Google Drive ₹1351,technology
Starbucks ₹1346,food
PVR Cinemas ₹1860,entertainment
Zomato ₹1242,food
Nykaa ₹1034,shopping
Swiggy ₹1865,food
Ola ₹1185,transport
Flipkart ₹1731,shopping
Pizza Hut ₹1923,food
Microsoft ₹507,technology
Flipkart ₹160,shopping
Amazon ₹1024,shopping
Starbucks ₹1962,food
PVR Cinemas ₹341,entertainment
Flipkart ₹891,shopping
Uber ₹741,transport
Apple ₹747,technology
IRCTC ₹1682,transport
Steam ₹1939,entertainment
Cafe Coffee Day ₹134,food
Steam ₹929,entertainment
IRCTC ₹121,transport
Domino's ₹1637,food
GitHub ₹80,technology
Steam ₹61,entertainment
Amazon ₹70,shopping
Spotify ₹1050,entertainment
Netflix ₹128,entertainment
Microsoft ₹1167,technology
Myntra ₹1730,shopping
Zoom ₹180,technology
Apple ₹1426,technology
Myntra ₹150,shopping
Uber ₹653,transport
Auto ₹1582,transport
Ajio ₹203,shopping
Amazon ₹1705,shopping
Snapdeal ₹1255,shopping
Amazon ₹956,shopping
Domino's ₹1208,food
Netflix ₹391,entertainment
DigitalOcean ₹443,technology
PVR Cinemas ₹844,entertainment
Uber ₹1761,transport
Spotify ₹954,entertainment
Pizza Hut ₹837,food
YouTube Premium ₹772,entertainment
Microsoft ₹186,technology
Steam ₹857,entertainment
Rapido ₹774,transport
Myntra ₹1084,shopping
Flipkart ₹234,shopping
Zoom ₹1762,technology
Snapdeal ₹1269,shopping
IRCTC ₹687,transport
Pizza Hut ₹929,food
Rapido ₹1678,transport
Cafe Coffee Day ₹947,food
YouTube Premium ₹680,entertainment
Cafe Coffee Day ₹547,food
Ajio ₹275,shopping
Cab ₹241,transport
Amazon ₹313,shopping
Cafe Coffee Day ₹1474,food
Google Drive ₹1890,technology
GitHub ₹1254,technology
DigitalOcean ₹542,technology
PVR Cinemas ₹103,entertainment
Microsoft ₹567,technology
GitHub ₹1704,technology
Microsoft ₹752,technology
Starbucks ₹1403,food
Pizza Hut ₹1593,food
PVR Cinemas ₹1989,entertainment
Ola ₹1477,transport
Rapido ₹1054,transport
Adobe ₹231,technology
Steam ₹1387,entertainment
BookMyShow ₹350,entertainment
Rapido ₹749,transport
Pizza Hut ₹948,food
Flipkart ₹1344,shopping
Ajio ₹1042,shopping
Nykaa ₹489,shopping
Netflix ₹673,entertainment
Cafe Coffee Day ₹1349,food
Netflix ₹825,entertainment
Domino's ₹178,food
Flipkart ₹781,shopping
Zomato ₹1520,food
Starbucks ₹814,food
Rapido ₹1850,transport
Ola ₹760,transport
PVR Cinemas ₹257,entertainment
Cafe Coffee Day ₹1569,food
Redbus ₹335,transport
Apple ₹106,technology
Apple ₹1241,technology
Starbucks ₹991,food
Netflix ₹1913,entertainment
Amazon ₹1513,shopping
Redbus ₹907,transport
Rapido ₹1800,transport
Netflix ₹1579,entertainment
Flipkart ₹138,shopping
Cafe Coffee Day ₹1638,food
Uber ₹314,transport
Starbucks ₹1408,food
Amazon ₹890,shopping
Myntra ₹577,shopping
Google Drive ₹1573,technology
BookMyShow ₹1816,entertainment
Auto ₹1978,transport
Cafe Coffee Day ₹1877,food
Microsoft ₹1510,technology
Amazon ₹985,shopping
Snapdeal ₹881,shopping
Myntra ₹53,shopping
Netflix ₹341,entertainment
Spotify ₹113,entertainment
Swiggy ₹1254,food
TataCliq ₹1930,shopping
Domino's ₹222,food
Uber ₹1086,transport
Spotify ₹1094,entertainment
Uber Eats ₹1940,food
Cafe Coffee Day ₹1010,food
GitHub ₹497,technology
Auto ₹1269,transport
Ola ₹1124,transport
Rapido ₹174,transport
Hotstar ₹1179,entertainment
Steam ₹1747,entertainment
Myntra ₹1126,shopping
Auto ₹1060,transport
Swiggy ₹156,food
Starbucks ₹1873,food
Zoom ₹874,technology
PVR Cinemas ₹1812,entertainment
Auto ₹1792,transport
Amazon ₹1850,shopping
Uber ₹1606,transport
Redbus ₹1838,transport
DigitalOcean ₹87,technology
Apple ₹1491,technology
Ajio ₹1910,shopping
Pizza Hut ₹1269,food
Zoom ₹1725,technology
Pizza Hut ₹534,food
Nykaa ₹259,shopping
BookMyShow ₹1707,entertainment
Flipkart ₹1560,shopping
Google Drive ₹101,technology
Microsoft ₹776,technology
YouTube Premium ₹1827,entertainment
Auto ₹1720,transport
Microsoft ₹1706,technology
Cab ₹220,transport
Google Drive ₹728,technology
Myntra ₹171,shopping
Redbus ₹1048,transport
Domino's ₹1898,food
Google Drive ₹159,technology
Apple ₹1446,technology
DigitalOcean ₹333,technology
Apple ₹451,technology
Zoom ₹442,technology
Redbus ₹1747,transport
BookMyShow ₹338,entertainment
Rapido ₹1553,transport
Myntra ₹1744,shopping
Zoom ₹520,technology
YouTube Premium ₹922,entertainment
Uber Eats ₹650,food
Netflix ₹1909,entertainment
Spotify ₹1387,entertainment
Uber ₹659,transport
Adobe ₹826,technology
Swiggy ₹610,food
Netflix ₹906,entertainment
Auto ₹1869,transport
Rapido ₹1950,transport
Snapdeal ₹1839,shopping
Amazon ₹1425,shopping
Cafe Coffee Day ₹1130,food
Uber ₹1913,transport
Zomato ₹1312,food
Starbucks ₹253,food
Auto ₹939,transport
Netflix ₹376,entertainment
Netflix ₹1459,entertainment
BookMyShow ₹1578,entertainment
Hotstar ₹1470,entertainment
Zomato ₹54,food
Cafe Coffee Day ₹592,food
Hotstar ₹1461,entertainment
GitHub ₹653,technology
Spotify ₹953,entertainment
Ola ₹1779,transport
Uber Eats ₹1818,food
Apple ₹1040,technology
Rapido ₹1691,transport
Ajio ₹151,shopping
Ajio ₹1587,shopping
Amazon ₹330,shopping
Uber ₹1802,transport
DigitalOcean ₹120,technology
Hotstar ₹1361,entertainment
Adobe ₹1098,technology
Cab ₹1573,transport
Netflix ₹954,entertainment
Flipkart ₹787,shopping
Snapdeal ₹1307,shopping
Google Drive ₹108,technology
Nykaa ₹1008,shopping
Ajio ₹691,shopping
Spotify ₹1868,entertainment
Microsoft ₹1239,technology
Netflix ₹1835,entertainment
Hotstar ₹1958,entertainment
Myntra ₹1279,shopping
TataCliq ₹793,shopping
Pizza Hut ₹109,food
IRCTC ₹674,transport
Netflix ₹1728,entertainment
Auto ₹328,transport
Cafe Coffee Day ₹1949,food
Cafe Coffee Day ₹837,food
Domino's ₹1430,food
Starbucks ₹683,food
DigitalOcean ₹786,technology
Google Drive ₹1885,technology
PVR Cinemas ₹1021,entertainment
Hotstar ₹618,entertainment
GitHub ₹803,technology
Apple ₹1910,technology
Domino's ₹1597,food
DigitalOcean ₹1260,technology
Apple ₹622,technology
Netflix ₹949,entertainment
Zomato ₹1633,food
Spotify ₹395,entertainment
GitHub ₹269,technology
GitHub ₹62,technology
Ola ₹519,transport
GitHub ₹1024,technology
Uber ₹774,transport
Rapido ₹428,transport
Zomato ₹1741,food
GitHub ₹516,technology
Myntra ₹1483,shopping
Adobe ₹189,technology
DigitalOcean ₹1315,technology
PVR Cinemas ₹603,entertainment
Ola ₹873,transport
Uber Eats ₹1000,food
Uber ₹1882,transport
Myntra ₹861,shopping
Uber ₹764,transport
Nykaa ₹1815,shopping
Adobe ₹844,technology
Steam ₹143,entertainment
BookMyShow ₹1639,entertainment
Steam ₹113,entertainment
Ola ₹1364,transport
Ola ₹727,transport
Pizza Hut ₹123,food
Zomato ₹119,food
Domino's ₹1778,food
YouTube Premium ₹1498,entertainment
Nykaa ₹560,shopping
Snapdeal ₹315,shopping
Ajio ₹1958,shopping
Zoom ₹491,technology
Steam ₹558,entertainment
Cafe Coffee Day ₹258,food
Adobe ₹626,technology
Netflix ₹557,entertainment
Hotstar ₹1434,entertainment
DigitalOcean ₹1994,technology
Nykaa ₹1660,shopping
Pizza Hut ₹1883,food
Netflix ₹1593,entertainment
Ola ₹552,transport
Steam ₹593,entertainment
Zomato ₹1118,food
Myntra ₹772,shopping
Spotify ₹129,entertainment
Auto ₹934,transport
Google Drive ₹336,technology
Uber ₹1159,transport
Swiggy ₹1721,food
Starbucks ₹94,food
Zomato ₹1113,food
TataCliq ₹1458,shopping
Amazon ₹1093,shopping
Uber Eats ₹87,food
Swiggy ₹1870,food
Google Drive ₹338,technology
Nykaa ₹1559,shopping
Domino's ₹842,food
Hotstar ₹1034,entertainment
Spotify ₹1195,entertainment
Spotify ₹157,entertainment
Snapdeal ₹466,shopping
Adobe ₹502,technology
Ola ₹144,transport
GitHub ₹1879,technology
PVR Cinemas ₹829,entertainment
Cab ₹594,transport
IRCTC ₹727,transport
Ajio ₹1964,shopping
Nykaa ₹1996,shopping
IRCTC ₹1747,transport
Flipkart ₹81,shopping
Google Drive ₹739,technology
Domino's ₹1897,food
Swiggy ₹263,food
Uber ₹1013,transport
Flipkart ₹328,shopping
Nykaa ₹120,shopping
Swiggy ₹254,food
Myntra ₹1662,shopping
Pizza Hut ₹905,food
Myntra ₹1477,shopping
PVR Cinemas ₹499,entertainment
Ajio ₹786,shopping
BookMyShow ₹1070,entertainment
Netflix ₹949,entertainment
Microsoft ₹539,technology
PVR Cinemas ₹932,entertainment
Starbucks ₹1421,food
IRCTC ₹1223,transport
Zoom ₹1559,technology
DigitalOcean ₹297,technology
TataCliq ₹1687,shopping
Swiggy ₹1798,food
Nykaa ₹893,shopping
Rapido ₹1214,transport
Zomato ₹154,food
Amazon ₹903,shopping
Flipkart ₹671,shopping
Snapdeal ₹329,shopping
PVR Cinemas ₹827,entertainment
Steam ₹106,entertainment
Swiggy ₹1021,food
Domino's ₹241,food
Cab ₹252,transport
Apple ₹1169,technology
Rapido ₹1122,transport
